"","INSTNM","STABBR","ACCREDAGENCY","HIGHDEG","ADM_RATE_ALL","SAT_AVG_ALL","PCIP14","UGDS","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITFTE","INEXPFTE","AVGFACSAL","PCTFLOAN","PAR_ED_PCT_PS","DEP_INC_AVG","DEBT_MDN","AGE_ENTRY","FEMALE","VETERAN","FAMINC","GRADS"
"1","Alabama A & M University","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.87377537980974","849","0.0896","4616","22667","NULL","9366","17496","9590","5888","7028","0.7667","0.6341719078","34779.085684","13246","20.283741368","0.5640301318","0.003138732","32362.826114","1008"
"2","University of Alabama at Birmingham","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.581351094196","1125","0.0599","12047","22684","NULL","8040","18368","11007","17055","10517","0.5179","0.658776329","61110.800384","14979.5","23.60797466","0.6390907397","0.0031675051","51306.674306","7166"
"3","Amridge University","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"NULL","NULL","0","293","13380","NULL","7180","7180","16512","5417","3857","0.8436","0.4875","25211.032258","10430","33.672297297","0.6486486486","0.0405405405","21079.472973","303"
"4","University of Alabama in Huntsville","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.76281628162816","1257","0.2702","6346","22059","NULL","9842","20612","8902","10558","9463","0.4312","0.6898678414","72240.892617","13522","22.727919632","0.4763499372","PrivacySuppressed","61096.588949","1961"
"5","Alabama State University","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.458963879377","825","0","4704","19242","NULL","9220","16156","8435","7889","7952","0.8113","0.6565656566","34468.571812","15738","20.130990415","0.6134185304","PrivacySuppressed","31684.382188","591"
"6","The University of Alabama","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.52585192352956","1202","0.1036","31663","28422","NULL","10470","26950","13627","10478","9802","0.4007","0.7742873113","101976.77516","17340","21.137701396","0.6152524168","0.0039742213","91846.749624","5100"
"7","Central Alabama Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","1492","13868","NULL","4380","7890","2065","6187","5960","0.3234","0.4503239741","36871.779273","5764","23.071028037","0.6037383178","PrivacySuppressed","30767.764486","NULL"
"8","Athens State University","AL","Southern Association of Colleges and Schools Commission on Colleges",3,"NULL","NULL","0","2888","NULL","NULL","NULL","NULL","6140","6445","8367","0.6455","0.5225035162","56488.670561","13461","30.384765625","0.705078125","PrivacySuppressed","38479.38737","38"
"9","Auburn University at Montgomery","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.76592082616179","1009","0","4171","19255","NULL","9640","20710","8210","7216","7251","0.5565","0.61810391","46985.570342","10750","22.199804114","0.6929480901","0.0048971596","41987.986288","605"
"10","Auburn University","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.8054338299737","1217","0.1873","22095","29794","NULL","10696","28840","14842","9756","9945","0.328","0.8273528809","98805.666232","17000","20.516795866","0.531504671","0.0023852117","92148.626516","5632"
"11","Birmingham Southern College","AL","Southern Association of Colleges and Schools Commission on Colleges",3,"0.48387963460505","1150","0.0077","1289","48510","NULL","34448","34448","10035","9510","7233","0.4729","0.8275058275","89292.046729","19500","19.64479638","0.520361991","PrivacySuppressed","86672.871041","NULL"
"12","Chattahoochee Valley Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","1424","6980","NULL","4254","7764","1867","3628","6045","0.2697","0.5697329377","30261.245","6500","24.81025641","0.611965812","0.0102564103","26584.324786","NULL"
"13","Concordia College Alabama","AL","NULL",3,"0.23630672926447","NULL","0","340","27520","NULL","10320","10320","7829","9350","5605","0.883","0.5516224189","24533.852564","9500","21.885286783","0.3291770574","PrivacySuppressed","20920.501247","NULL"
"14","South University-Montgomery","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"NULL","NULL","0","394","26892","NULL","17306","17306","13428","5706","4887","0.7087","0.5277116627","41728.602636","10919","30.001843187","0.7628668652","0.0162342266","29130.921239","123"
"15","Enterprise State Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","1357","8980","NULL","4380","7890","2427","5903","6458","0.1738","0.5781083953","38516.687107","5000","23.948815166","0.5165876777","0.0113744076","30336.675829","NULL"
"16","Coastal Alabama Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","4189","12260","NULL","4380","7890","2511","4144","6266","0.4779","0.5648803505","43008.967801","5500","23.501064801","0.6531791908","0.0045634317","36117.937329","NULL"
"17","Faulkner University","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.45380212591986","972","0","2297","30557","NULL","20130","20130","10080","5121","5723","0.6954","0.5699680511","52552.186589","14450","28.260475651","0.6387315968","PrivacySuppressed","36952.206116","736"
"18","Gadsden State Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","4540","9714","NULL","3264","6072","1783","6177","6143","0","0.4850455137","23432.893729","PrivacySuppressed","23.64507772","0.6180606958","0.0066617321","19449.725019","NULL"
"19","New Beginning College of Cosmetology","AL","National Accrediting Commission of Career Arts and Sciences",1,"NULL","NULL","0","82","NULL","13057","NULL","NULL","9026","4330","NULL","0.4545","0.5","29933.963636","5500","23.460176991","PrivacySuppressed","PrivacySuppressed","22762.19469","NULL"
"20","George C Wallace Community College-Dothan","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","3904","9322","NULL","4320","7830","2110","4659","5849","0","0.5148462354","21869.523016","PrivacySuppressed","23.866083755","0.667740451","0.0046019328","19125.651634","NULL"
"21","George C Wallace State Community College-Hanceville","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","4857","10945","NULL","4380","7890","3012","4761","5961","0.333","0.501186843","43510.344828","7750","23.447604328","0.6312210201","0.0040185471","36705.769088","NULL"
"22","George C Wallace State Community College-Selma","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","1397","13819","NULL","4080","7590","1361","3492","4922","0","0.4874118832","16799.735183","PrivacySuppressed","22.870995671","0.5991341991","0.0112554113","15431.714286","NULL"
"23","Herzing University-Birmingham","AL","Higher Learning Commission",4,"0.91256157635468","NULL","0","481","25945","NULL","13390","13390","10846","4934","5275","0.7083","0.4790967348","42942.389088","11766","31.289940828","0.8135465189","0.0093163792","26184.228503","17"
"24","Huntingdon College","AL","Southern Association of Colleges and Schools Commission on Colleges",3,"0.56759906759906","1001","0","1140","34207","NULL","25800","25800","10653","6474","6615","0.7093","0.6544","61236.688213","16950","23.017751479","0.4704142012","PrivacySuppressed","53792.633136","NULL"
"25","Heritage Christian University","AL","Association for Bibical Higher Educaiton",4,"0.33333333333333","NULL","0","50","19353","NULL","9792","9792","10519","9359","4981","0.2586","PrivacySuppressed","PrivacySuppressed","10500","28.72","PrivacySuppressed","PrivacySuppressed","33173.64","32"
"26","J. F. Drake State Community and Technical College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","794","11938","NULL","4350","7860","1225","4705","5992","0","0.4100346021","19354.878676","PrivacySuppressed","27.254901961","0.5610859729","0.0196078431","16557.179487","NULL"
"27","J F Ingram State Technical College","AL","Council on Occupational Education",1,"NULL","NULL","0","446","NULL","NULL","4896","4896","10","12588","5812","0","0.5081967213","PrivacySuppressed","PrivacySuppressed","36.403669725","0.2293577982","PrivacySuppressed","321.3853211","NULL"
"28","Jacksonville State University","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.53082948383209","1062","0","6714","20750","NULL","7500","14700","6566","7513","6945","0.6435","0.6362297496","54169.054116","16450","22.62058319","0.5886792453","PrivacySuppressed","48404.346827","953"
"29","Jefferson Davis Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","955","12093","NULL","4088","7598","1089","5019","5909","0","0.4782608696","21620.115385","PrivacySuppressed","24.310160428","0.6506238859","PrivacySuppressed","19863.224599","NULL"
"30","Jefferson State Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","7256","13710","NULL","4440","7950","3035","4883","6363","0.1784","0.5497092218","45325.739761","3793.5","24.418235877","0.660555005","0.0052031715","36652.478692","NULL"
"31","John C Calhoun State Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","8414","9765","NULL","4460","7970","3253","4402","6325","0.2602","0.544656297","45037.624273","5500","23.856652164","0.5809480192","0.0052667735","37220.18136","NULL"
"32","Judson College","AL","Southern Association of Colleges and Schools Commission on Colleges",3,"0.57553956834532","1013","0","327","30562","NULL","17376","17376","7161","11085","5666","0.5642","0.5862068966","56316.189189","9500","28.406483791","PrivacySuppressed","PrivacySuppressed","28123.817955","NULL"
"33","Lawson State Community College-Birmingham Campus","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","2931","13630","NULL","4380","7890","1453","5733","5966","0","0.5252768416","21216.20025","PrivacySuppressed","23.384028892","0.5682182986","0.0040128411","18229.648074","NULL"
